date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:14	51259/51259	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2019:02:46%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/ionicons.min.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/ionicons.minc705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:14	1985/1985	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2019:01:52%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/zoa-font.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/zoa-fontc705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:14	1729/1729	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2009:28:49%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/slick.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/slickc705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:15	3242/3242	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2009:28:49%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/slick-theme.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/slick-themec705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:15	2936/2936	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2009:28:46%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/owl.carousel.min.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/owl.carousel.minc705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:15	921/921	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2009:28:46%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/owl.theme.default.min.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/owl.theme.default.minc705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:15	13894/13894	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2009:28:41%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/jquery.fancybox.min.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/jquery.fancybox.minc705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:16	2192/2192	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2009:28:52%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/threesixty.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/threesixtyc705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:16	804/804	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2018:59:31%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/fonts.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/fontsc705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:18	448971/448971	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Oct%202018%2001:53:05%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/style.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/stylec705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:18	12131/12131	---M-Z	200	added ('OK')	text/css	date:Fri,%2014%20Sep%202018%2007:07:51%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/fix_style.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/fix_stylec705.css	(from https://zoa-store-demo.myshopify.com/)
